No.,URL,Title,Description,Date,Guest,Position,Company,Category,Biggest Challenge,SaaS Resources,Notes
001,http://saastr.libsyn.com/saastr-001-how-we-achieved-3m-in-sales-without-1-on-marketing-with-tiago-paiva-founder-talkdesk,"Saastr 001: How We Achieved $3m in Sales without $1 on Marketing with Tiago Paiva, Founder @ TalkDesk","Welcome to Episode 1 of The Official Saastr Podcast, the show will delve behind the scenes of the latest and greatest SaaS rocketships talking to the founders and operators themselves. We will also be chatting with the investors and VCs funding these hyper growth companies to reveal their tactics and strategies when it comes to deciding whether to invest.  To celebrate, we have a very special guest: Tiago Paiva. Tiago is the CEO and Co-Founder of Talkdesk, the world's leading browser -based call center software solution and in today's show with Tiago we discuss: The Origin Story For TalkDesk How Tiago achieved $3m in Sales without spending a $ on marketing When is the right time to hire your VP of Sales?  How important is it for SaaS startups and founders to be in SF? How did Tiago choose his investors?  In a round we call the 60 Second Saastr, we also hear: The biggest challenge Tiago has faced to date? Tiago's favourite SaaS resource? What role is the hardest to fill in a SaaS organisation? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Tiago Paiva",3/2/2016 8:00:25,Tiago Paiva,CEO,TalkDesk,Customer Success (Call Center),Hiring the Right People,Saastr,500 Startups; $3MM in sales w/o sales team via key partnerships and word of mouth; every six months of growth their customer changes (upmarket); 
002,http://saastr.libsyn.com/saastr-002-behind-the-scenes-at-the-worlds-fastest-growing-saas-company-with-andy-lark-cmo-xero,"Saastr 002: Behind The Scenes At The World's Fastest Growing SaaS Company with Andy Lark, CMO @ Xero","Joining us today, I am thrilled to welcome, Andy Lark, CMO at Xero, the world's fast growing SaaS company making accounting software beautiful. Prior to joining Xero, Andy work with the likes of Dell, Sun Microsystems and The CommonWealth Bank Of Australia and in today's show with Andy we discuss: How Andy came to be CMO at the world's fastest growing SaaS company? How Andy structures his team? What does Andy make of the expansion of the traditional marketing role? How to approach branding with regards to competitors? How did Tiago choose his investors? What are the main differences of the old enterprise world compared to selling SaaS to SME's today? In a round we call the 60 Second Saastr, we also hear: What lesson has Andy learnt recently that changes the way he works? Andy's favourite SaaS resource? How does Andy approach the issue of work life balance? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Andy Lark",3/2/2016 9:27:34,Andy Lark,CMO,Xero,Accounting,Where to put the next dollar and where to take a dollar out; do we have the right people and talent,SaaStr; Tim Ferris; Harvard Business Review Entreprenuer; Rich Roll ,Brand is particuarly important in SaaS; orchestrate and optimize the brand/experience across relevant platforms; Best Mktg ROI? -- changes every 3 months; a mix is best; New frontier marketing: integation of marketing and product to automate virality and engagemnet in the product (biggest point of yield as a marketer); work/life balance is bunk; bring 'em together and integrate them; build remarkable products (and generate customer love)
003,http://saastr.libsyn.com/saastr-003,"Saastr 003: Scaling From A 50 to a 500 Person Company with Mark Geene, CEO @ Cloud Elements","Joining us today, I am thrilled to welcome, Mark Geene, CEO @ Cloud Elements the cloud API integration service that uses uniform APIs to connect your application with entire categories of services. Prior to joining Cloud Elements, Mark has had over 20 years experience in the industry including executive roles with IBM and Oracle and in today's show with we discuss: What was the origin story behind Cloud Elements and how Mark became CEO? What does it take for a company to transition from a 50 person company to a 500 person company? How does Mark apply lean startup methodology to SaaS? When is the right time to really invest in sales and marketing? Does the lack of SaaS exits greater than $500m concern Mark?  Why have we seen the rise of the API economy and what does the future hold? In a round we call the 60 Second Saastr, we also hear: What lesson has Mark learnt recently that changes the way he works? Mark's favourite SaaS resource? Vertical vs platform SaaS play? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Mark Geene",3/2/2016 9:32:55,Mark Greene,CEO,Cound Elements,API Integration,keep focused -- not chasing every deal that comes along,Tomasz Tunguz,"3rd Startup; For early hires critical to get folks that have the same core values are important; hire slow, fire fast; proponet of lean startup throughout the different functions; for sales, get a repeatable process before lots of sales hiring; 6-9 months to get their sales process down; if you can, channel partners and OEMs are more efficient than building out the expensive sales org;  don't spend money on stuff until you have them figured out (most capital efficient); think about APIs first (e.g. salesforce)"
004,http://saastr.libsyn.com/saastr-004-indexs-shardul-shah-on-why-reducing-time-distance-to-value-is-so-important-and-how-to-sell-to-csos-effectively,Saastr 004: Index's Shardul Shah on Why Reducing Time Distance To Value Is So Important and How To Sell To CSO's Effectively,"I am thrilled to welcome, Shardul Shah, Partner @ Index Ventures to the show today. Shardul is the sole member of the Index team to have worked in all Index's offices around the world in Geneva, London and SF. Now in SF, Shardul focuses on security, software and infrastructure with investments in the likes of Squarespace, DropBox and Adaloom, just to name a few. Discussed In Today's Show: How Shardul made his unorthodox approach into investing? What Shardul really looks for in early stage SaaS products when investing? Why is reducing time distance to value so important for a SaaS product? How can startups effectively sell to CSO's in this new wave of cyber security? What are the risks and flaws of the open source community?  How can enterprise SaaS products create true customer stickiness? In a round we call the 60 Second Saastr, we also hear: What is Shardul most concerned about in the SaaS space? Shardul's favourite SaaS resource:  Which public markets SaaS companies is Shardul most impressed with? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Shardul Shah
",3/15/2016 6:34:41,Shardul Shah,Partner,Index Ventures,VC,SaaS Space Concerns: People confuse great companies for good companies; difference is growth v capital efficient growth,"Saastr; Jason Lemkin, David Skok; Bessemer","Great investor can form conviction quickly and support companies long term, the common denominator: network; to be an investor, how to maximize probability that you have a dense network?; Beautiful craftmanship: obsession for minute details from a product-oriented team a recipe for creating a beautiful, highly usable product; things I look for to identify stickyness: products that reduce time-distance to value (biz models that benefit from enabling customers to identify utility very quickly, e.g., squarespace); metrics such as 8-minute POC; 30 seconds to value; SaaS businesses I like: system of record or core to workflow; Underhyped segements / themes: security (labor supply, new attack surfaces, attack driven mindset to security); devops (meaningful to their daily life and introduction to the company); "
005,http://saastr.libsyn.com/saastr-005-social-capitals-mamoon-hamid-on-changing-the-way-we-work-and-the-rise-of-the-bottoms-up-sales-strategy,Saastr 005: Social Capital's Mamoon Hamid on Changing The Way We Work and The Rise of The Bottoms Up Sales Strategy,"It is a huge honour to welcome, Mamoon Hamid, Partner @ Social Capital. One of the world's best performing funds with investments in the likes of Slack, Box, Intercom, Yammer and many more incredible companies. Prior to joining Social Mamoon was a Partner at US Venture Partners (USVP) and in today's show we discuss: How Mamoon made his way into the world of investing and VC? What were Mamoon's biggest takeaways from seeing the rocketship growth of the likes of Slack and Box? What were their challenges faced? What is the distinct value proposition of Social over other VC funds? How do you look to differentiate? What has been the effect of the rise of the bottoms up sales apprcach and what role will this play in the future for selling to enterprise clients? Which company will be the first to make a million on Slack?  In a round we call the 60 Second Saastr, we also hear: Biggest challenge facing Mamoon and Social Capital? Mamoon's favourite SaaS resource? Biggest piece of advice to SaaS founders? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Mamoon Hamid",3/18/2016 6:50:21,Mamoon Hamid,Partner,Social Capital,VC,Core customer: think a lot about high bar on respectufl timely constructive feedback,NA,"Came from cap intensive to SaaS; Box first investment; like to invest in 10 people not a lot of revenue with a use case customres can't live without (dozens/100s of customers); struggles in hypergrowth - sales is usually not in the DNA of founders; Social Capital pitch -- internal growth team to help investees scale;  Overhyped areas: Analytics, Business Intelligence, Predictive Shit, AI/Machinelearning bullshit; under-hyped: non-US focused needs; vertical software (gnarly industries like shipping, oil & gas); "
006,http://saastr.libsyn.com/saastr-006-why-the-best-saas-companies-are-founder-led-and-taking-adobe-from-40m-to-1bn-with-russell-fujioka-us-president-xero,"Saastr 006: Why The Best SaaS Companies Are Founder Led and Taking Adobe From $40m to $1bn with Russell Fujioka, US President @ Xero","Joining us today, I am delighted to have Russell Fujioka, US President at Xero, the world's fast growing SaaS company making accounting software beautiful. Prior to joining Xero, Russ was the Global Vice President of Marketing at Dell, EIR at Bessemer Venture Partners and held executive roles at the likes of Adobe. In today's show with Russ we discuss: How Russ came to be US President at the world's fastest growing SaaS company? How has Russ seen the SaaS industry change over his 25 years? Why does Russ believe all the SaaS best companies are founder led? What were the determinants that allowed Adobe to go from 40m to $1bn? How does Russ view the current competitive landscape for accounting software? What were the main benefits of experiencing the VC industry with Bessemer? In a round we call the 60 Second Saastr, we also hear: Which pubic markets SaaS company does Russ most respect? Russ' favourite SaaS resource? Is accounting software a winner take all market? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Russ Fujioka",3/21/2016 5:58:15,Russell Fujioka,"President, US",Xero,Accounting,"people: hiring, retaining and inspiring  people",twitter; techcrunch; ,"Grew up in valley; starting in semiconducters into software (with Adobe); you can tell the diffrence between a mission led company (inherent in founders) to those that need a mission slide in their deck; Successsful SaaS -- more than category, how does it work for the customer and integrated with their data sets; SaaS is cheap - you can have full compliant shopify and xero accounting for $50/mo; 30 million small businesses in the US; 10 million true operational businesses; lots of churn (~150K per month); Biggest advice to saas founders: ask questions don't do it alone;"
007,http://saastr.libsyn.com/saastr-006-what-it-takes-to-get-series-a-investor-interested-and-guidelines-to-manage-your-burn-rate-with-doug-pepper-partner-shasta-ventures,"Saastr 007: What It Takes To Get Series A Investor Interested and Guidelines To Manage Your Burn Rate with Doug Pepper, Partner @ Shasta Ventures","I am thrilled to welcome, Doug Pepper, Partner @ Shasta Ventures to the show today. Doug is a master when it comes to SaaS investments with his companies generating over $500m in revenue in 2015, having funded the likes of Marketo, Optimizely and Flurry. In today's show with Doug we discuss:  How Doug made his approach into investing? What metrics are required for startups to get Series A investors interested? What are the guidelines for a startup to manage their burn rate? In future tough markets, we will see greater consolidation? How can startups stand out when selling to CIO, CEO's and VPs?  In a round we call the 60 Second Saastr, we also hear: What has been the scariest moment of Doug's VC career? Why Doug is so excited for the future of mobile SaaS?  What the main effects are of the rise of bottoms up sales strategies? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Doug Pepper",3/25/2016 7:58:52,Doug Pepper,Partner,Shasta Ventures,VC,"Most common issues for portfolio companies -- would have said hiiring, but now would say fundraising",NA,"Entry into VC from biz school; focus on enterprise marketing technology; comapnies will never stop optimizing their relationships with their customers; now a crowded sector, which is a little confusing for customers; advice to startups: identify a very clear problem and create a product that clearly solves that problem in an efficient and quick manor, which then earns you the right to become a bigger platform; big opportunities, enterrprise on mobile; big data and predictivate analytics and AI; used to be that you couldn't get fired for buying IBM, but now you can get fired for buying a hard to use product; For investing, like to look at team, product, market, but if they have customers, want to hear from those customers and what drove them to adopt; Series A: need 50-150K MRR; Series B: consistent growth and sales model $300-$500K MRR"
008,http://saastr.libsyn.com/saastr-008-hiring-101-with-keith-rabois-opendoor-khosla-ventures,Saastr 008: Hiring 101 with Keith Rabois @ OpenDoor & Khosla Ventures,"This episode was recorded at Saastr Annual 2016 and it is an incredible conversation whereby Jason Lemkin deep dives into the career and wisdom of Keith Rabois. For those that do not know, Keith is a legend of the tech industry having helped build some of the most important companies in Silicon Valley including Paypal, Square and Linkedin. He is also a very prominent VC with Khosla Ventures and has recently rejoined the world  of operations, looking to disrupt the world of property with OpenDoor. For your chance to win a signed copy of Jason's new book 'How Hyper Growth Companies Create Predictable Revenue', we would be so grateful for you to upvote the episode on ProductHunt! In Today's Show We Cover: Why Keith rejoined the world of operations having been a VC with Khosla? Is domain expertise a good or a bad thing to have when entering an industry? When hiring, how do you achieve the balance of experience and potential? When is the right time to hire a COO? What are the signs? How Did Keith approach hiring in high growth rocketship companies? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Keith Rabois If you enjoyed the conversation with Keith today and want to save your space at what promises to be the best Saastr Annual ever, Saastr Annual 2017! You can buy early bird tickets here!",3/28/2016 5:40:28,Keith Rabois,Partner,Open Door & Khosla Ventures,VC,NA,NA,"From SaaStr Annual 2016; experience can be a two-edged sword -- good to have exprerience, but good not to have biases; if you are CEO and product (or sales, etc), maybe a COO is useful to help offload day-to-day stuff; leverage what you're awesome at and offload the rest to stuff they're awesome at; hiring: can't go after proven people when you're a startup; gotta get good at evaluating people with upside and give them the opportunity to succeed; hiring: have coffee with the five best people, just so you know what to look for in places that you aren't familiar with (or interview as many as you can until you don't learn anthing new); hyper-growth companies, hire talented people,'cause you can throw stuff at them even if they haven't done that before; safe hires v. high-upside folks: it's a ratio; "
009,http://saastr.libsyn.com/saastr-009-what-makes-a-truly-great-saas-ceo-with-josh-stein-dfj,Saastr 009: What Makes A Truly Great SaaS CEO with Josh Stein @ DFJ,"This episode was recorded at Saastr Annual 2016 featuring Jason Lemkin, Founder @ Saastr and Josh Stein, Partner @ DFJ. For those that do not know, Josh is arguably one of the most successful investors in the SaaS space having backed the likes of Box, Twilio, Yammer and many more from the very earliest of stages. In Today's Show We Cover: What is the fundamental differing between a great and a good CEO in SaaS? Is it possible to learn to become a great CEO? What did Aaron Levie do to enable Box to scale so successfully? How can startup founders determine whether they have the ability to go the distance as CEO? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Josh Stein If you enjoyed the conversation with Keith today and want to save your space at what promises to be the best Saastr Annual ever, Saastr Annual 2017! You can buy early bird tickets here!",4/1/2016 16:51:36,Josh Stein,Partner,DFJ,VC,NA,NA,"From SaaStr Annual 2016; long term trend in SaaS is solid; what's a great CEO; early on your job is to be a magnet (hiring, talent, etc); sometimes they can scale, sometimes they can't; if technical, as you grow, often the people-centric nature of the job is a big surprise; for a young founder, a lot of it is force of will, much can be learned; how to avoid burning out: not being a hero leader, CEO breaking points: 40 people, 200 people, 1000 people; CEOs gotta think 6-12 months ahead to be ready; all amount whether your committed to learn"
010,http://saastr.libsyn.com/saastr-010-mathilde-collin-on-the-evolution-of-content-marketing-and-life-as-a-young-enterprise-founder,Saastr 010: Mathilde Collin on The Evolution of Content Marketing and Life As A Young Enterprise Founder,"Welcome to Episode 10 of The Official Saastr Podcast. To celebrate this milestone, we have a very special guest: Mathilde Collin. Mathilde is the CEO and Co-Founder of Front, one of the world's most innovative young SaaS startups working in the space of email collaboration and in today's show with Mathilde we discuss: Mathilde's experience as a young founder and CEO in the enterprise space? How did Mathilde manage to attract some of the world's top talent and hire effectively? What were her biggest takeaways from her time at YC?  Why did Mathilde decide to raise US funds rather than European? How has the evolution of content marketing altered Front's sales strategy?  In a round we call the 60 Second Saastr, we also hear: Hiring Your First VP of Sales: When and What Questions To Ask? Mathilde's favourite SaaS resource? Compare UK to US investor mindsets? If you would like to find out more about the show and the guests presented you can follow us on Twitter here: Jason Lemkin Harry Stebbings Saastr Mathilde Collin",4/4/2016 4:16:19,Mathilde Collin,CEO,Frontapp,Comunications (Email),NA,Wait but why,"YC takeaway: everyone is struggling every day, even successful folks.  Building a company is hard.  Youth ins't as important as how quickly you learn; Front: Land and expand, bottom up sales and keep sales cycle short; US: can it be big, will I regret not investing; EU: do you have a product, can I help you scale; for first hires - could this person be a co-founder; Content marketing #1 source of signups; not a lot of great content out there; so to create it, takes a ton of time to create a valuable piece, but then gets a lot of shares; miimum of two posts per month; content categories: 1) something about the industry  2) our journey 3) use cases, tips, etc for customers; "
